CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100050083202500001,202500001,2025-11-20,788,83,1,2,6,30,8,19,2025-11-20 10:07:25,2025-11-20 10:07:25,2025-11-20 11:54:49,13.115182,77.524311,Information was received regarding rioting during the day in the limits of Bengaluru City Traffic Police Station. The case has been taken up for detailed inquiry.
2,100220093202500001,202500001,2025-12-17,864,93,1,2,12,61,2,84,2025-12-16 16:21:47,2025-12-16 16:22:47,2025-12-17 18:30:46,12.415984,76.690888,Information was received regarding arms act violation in the evening in the limits of Mysuru CEN Crime Police Station. The case has been taken up for detailed inquiry.
3,600060158202300001,202300001,2023-10-28,1368,158,6,3,6,30,4,27,2023-10-28 17:15:04,2023-10-28 17:18:04,2023-10-28 20:26:36,17.681781,77.343568,Information was received regarding rioting late at night in the limits of Bidar Town Police Station. The case has been taken up for detailed inquiry.
4,200030105202500001,202500001,2025-02-23,969,105,2,2,5,27,6,11,2025-02-22 07:40:32,2025-02-22 08:24:32,2025-02-23 12:41:30,15.939614,74.672017,The complainant reported an act of elder abuse occurring during the day in the area covered by Tilakwadi Police Station. Investigation is in progress to identify those responsible.
5,100110095202200001,202200001,2022-11-15,884,95,1,3,2,8,8,40,2022-11-15 08:19:30,2022-11-15 08:25:30,2022-11-15 21:39:29,12.976804,74.632775,"A case of theft came to notice late at night, and the matter was registered at Mangaluru South Police Station for further investigation as per procedure."
6,100030104202500001,202500001,2025-07-03,956,104,1,2,12,62,4,10,2025-07-03 19:37:32,2025-07-03 19:37:32,2025-07-03 19:49:57,15.941429,74.419867,"On the date of occurrence, in the evening, an incident of karnataka police act violation was reported within the jurisdiction of Shahapur Police Station. Preliminary inquiry has been initiated."
7,100130118202400001,202400001,2024-10-31,1063,118,1,3,2,8,1,51,2024-10-30 00:55:44,2024-10-30 01:39:44,2024-10-31 03:00:00,15.411349,75.161717,The complainant reported an act of theft occurring in the early morning in the area covered by Hubballi Old City Police Station. Investigation is in progress to identify those responsible.
8,100270170202300001,202300001,2023-06-26,1452,170,1,3,11,57,10,103,2023-06-10 03:57:06,2023-06-10 04:40:06,2023-06-25 23:07:56,13.174302,74.640365,Information was received regarding non-fatal motor vehicle accident late at night in the limits of Udupi Town Police Station. The case has been taken up for detailed inquiry.
9,100010175202200001,202200001,2022-07-14,1481,175,1,1,7,35,8,1,2022-07-12 23:07:41,2022-07-12 23:09:41,2022-07-14 16:36:29,16.330145,75.67933,Information was received regarding terrorism (uapa) in the evening in the limits of Bagalkot Rural Police Station. The case has been taken up for detailed inquiry.
10,200210151202500001,202500001,2025-11-05,1312,151,2,2,9,46,4,80,2025-11-04 18:58:08,2025-11-04 19:03:08,2025-11-05 18:55:13,12.629393,76.759809,"A case of social media impersonation came to notice in the evening, and the matter was registered at Mandya Rural Police Station for further investigation as per procedure."
11,100030105202200001,202200001,2022-03-17,969,105,1,3,12,62,4,10,2022-03-15 17:41:32,2022-03-15 18:10:32,2022-03-17 12:43:07,15.928207,74.696645,The complainant reported an act of karnataka police act violation occurring during the day in the area covered by Tilakwadi Police Station. Investigation is in progress to identify those responsible.
12,100080180202300001,202300001,2023-09-26,1524,180,1,2,3,16,8,33,2023-09-25 13:51:59,2023-09-25 14:27:59,2023-09-26 16:05:07,13.535267,77.756517,"A case of outraging modesty of woman came to notice in the evening, and the matter was registered at Chikballapur Town Police Station for further investigation as per procedure."
13,100050081202500001,202500001,2025-10-24,771,81,1,1,3,15,5,20,2025-10-23 21:56:51,2025-10-23 22:12:51,2025-10-24 05:25:40,12.946359,77.676938,"A case of rape came to notice in the early morning, and the matter was registered at Electronic City Police Station for further investigation as per procedure."
