CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,BNS,BNS-351,1,1
2,KPACT,KPACT-110,1,1
3,KPACT,KPACT-110,1,1
3,IPC,IPC-504,2,2
4,BNS,BNS-318,1,1
5,IPC,IPC-379,1,1
5,IPC,IPC-395,2,2
6,KEXACT,KEXACT-32,1,1
7,BNS,BNS-318,1,1
8,MVACT,MVACT-134,1,1
8,MVACT,MVACT-185,2,2
9,UAPA,UAPA-18,1,1
9,UAPA,UAPA-13,2,2
10,ITACT,ITACT-66,1,1
10,ITACT,ITACT-67,2,2
11,KEXACT,KEXACT-34,1,1
12,IPC,IPC-506,1,1
12,IPC,IPC-498A,2,2
13,BNS,BNS-64,1,1
14,IPC,IPC-363,1,1
15,BNS,BNS-74,1,1
16,BNS,BNS-351,1,1
16,BNS,BNS-85,2,2
17,BNS,BNS-316,1,1
18,KPACT,KPACT-78,1,1
18,IPC,IPC-504,2,2
18,KPACT,KPACT-110,3,3
19,IPC,IPC-380,1,1
20,NDPS,NDPS-8,1,1
21,IPC,IPC-447,1,1
22,BNS,BNS-303,1,1
23,BNS,BNS-351,1,1
23,KPACT,KPACT-78,2,2
24,IPC,IPC-447,1,1
24,IPC,IPC-420,2,2
24,IPC,IPC-379,3,3
25,KPACT,KPACT-78,1,1
26,ITACT,ITACT-67,1,1
27,ARMS,ARMS-30,1,1
28,DOWRY,DOWRY-4,1,1
28,BNS,BNS-85,2,2
29,IPC,IPC-406,1,1
30,PCA,PCA-13,1,1
31,BNS,BNS-303,1,1
31,BNS,BNS-305,2,2
32,MVACT,MVACT-184,1,1
33,IPC,IPC-506,1,1
34,MVACT,MVACT-185,1,1
34,MVACT,MVACT-177,2,2
35,IPC,IPC-395,1,1
35,IPC,IPC-406,2,2
36,IPC,IPC-420,1,1
37,IPC,IPC-395,1,1
37,IPC,IPC-420,2,2
38,BNS,BNS-115,1,1
39,MVACT,MVACT-185,1,1
40,BNS,BNS-329,1,1
41,MVACT,MVACT-177,1,1
41,MVACT,MVACT-184,2,2
41,MVACT,MVACT-134,3,3
42,ITACT,ITACT-66,1,1
43,IPC,IPC-304,1,1
44,BNS,BNS-309,1,1
45,ITACT,ITACT-66D,1,1
46,MVACT,MVACT-134,1,1
46,MVACT,MVACT-184,2,2
47,IPC,IPC-380,1,1
48,MVACT,MVACT-185,1,1
48,MVACT,MVACT-184,2,2
49,BNS,BNS-352,1,1
49,BNS,BNS-351,2,2
50,MVACT,MVACT-134,1,1
51,MVACT,MVACT-185,1,1
51,MVACT,MVACT-134,2,2
52,POCSO,POCSO-6,1,1
53,ITACT,ITACT-66C,1,1
54,BNS,BNS-305,1,1
54,BNS,BNS-318,2,2
55,BNS,BNS-318,1,1
56,PMLA,PMLA-3,1,1
56,BNS,BNS-318,2,2
57,MVACT,MVACT-134,1,1
57,MVACT,MVACT-185,2,2
58,IPC,IPC-395,1,1
58,IPC,IPC-379,2,2
59,KEXACT,KEXACT-32,1,1
60,ARMS,ARMS-25,1,1
61,IPC,IPC-420,1,1
62,BNS,BNS-310,1,1
63,MVACT,MVACT-134,1,1
63,MVACT,MVACT-185,2,2
64,MVACT,MVACT-184,1,1
65,ITACT,ITACT-67,1,1
66,NDPS,NDPS-27,1,1
66,NDPS,NDPS-29,2,2
67,NDPS,NDPS-20,1,1
68,BNS,BNS-305,1,1
68,BNS,BNS-318,2,2
68,BNS,BNS-303,3,3
69,ITACT,ITACT-67,1,1
70,MVACT,MVACT-184,1,1
71,BNS,BNS-109,1,1
72,IPC,IPC-406,1,1
73,IPC,IPC-379,1,1
73,IPC,IPC-392,2,2
73,IPC,IPC-380,3,3
74,NDPS,NDPS-21,1,1
74,NDPS,NDPS-27,2,2
74,NDPS,NDPS-20,3,3
75,ITACT,ITACT-66,1,1
75,ITACT,ITACT-66C,2,2
76,KPACT,KPACT-78,1,1
76,ARMS,ARMS-25,2,2
76,KEXACT,KEXACT-32,3,3
77,BNS,BNS-318,1,1
78,IPC,IPC-379,1,1
79,IPC,IPC-504,1,1
79,KPACT,KPACT-78,2,2
80,IPC,IPC-379,1,1
80,IPC,IPC-395,2,2
80,IPC,IPC-406,3,3
81,NDPS,NDPS-8,1,1
82,IPC,IPC-363,1,1
82,IPC,IPC-366,2,2
82,IPC,IPC-304,3,3
83,MVACT,MVACT-177,1,1
83,MVACT,MVACT-185,2,2
84,NDPS,NDPS-22,1,1
85,MVACT,MVACT-134,1,1
85,MVACT,MVACT-184,2,2
85,MVACT,MVACT-185,3,3
86,DOWRY,DOWRY-3,1,1
86,IPC,IPC-506,2,2
87,BNS,BNS-303,1,1
88,BNS,BNS-74,1,1
88,DOWRY,DOWRY-4,2,2
89,BNS,BNS-109,1,1
89,BNS,BNS-115,2,2
90,ARMS,ARMS-27,1,1
90,KPACT,KPACT-78,2,2
91,IPC,IPC-406,1,1
91,IPC,IPC-420,2,2
92,BNS,BNS-117,1,1
93,KPACT,KPACT-78,1,1
94,IPC,IPC-323,1,1
95,MVACT,MVACT-185,1,1
96,MVACT,MVACT-184,1,1
96,MVACT,MVACT-185,2,2
96,MVACT,MVACT-177,3,3
97,ITACT,ITACT-66,1,1
98,BNS,BNS-305,1,1
99,KEXACT,KEXACT-34,1,1
99,ARMS,ARMS-30,2,2
100,IPC,IPC-392,1,1
101,BNS,BNS-310,1,1
101,BNS,BNS-329,2,2
102,IPC,IPC-392,1,1
102,IPC,IPC-395,2,2
102,IPC,IPC-447,3,3
103,IPC,IPC-395,1,1
104,BNS,BNS-318,1,1
104,PMLA,PMLA-4,2,2
105,IPC,IPC-504,1,1
106,IPC,IPC-304,1,1
107,IPC,IPC-406,1,1
108,IPC,IPC-504,1,1
108,KPACT,KPACT-78,2,2
109,NDPS,NDPS-22,1,1
110,KPACT,KPACT-110,1,1
111,BNS,BNS-310,1,1
111,BNS,BNS-318,2,2
112,MVACT,MVACT-177,1,1
113,IPC,IPC-447,1,1
113,IPC,IPC-406,2,2
114,BNS,BNS-303,1,1
115,MVACT,MVACT-177,1,1
115,MVACT,MVACT-134,2,2
116,MVACT,MVACT-177,1,1
117,ARMS,ARMS-25,1,1
117,KPACT,KPACT-78,2,2
118,ITACT,ITACT-66,1,1
118,ITACT,ITACT-66D,2,2
119,BNS,BNS-351,1,1
120,BNS,BNS-329,1,1
121,IPC,IPC-376,1,1
121,DOWRY,DOWRY-4,2,2
122,ITACT,ITACT-66,1,1
122,ITACT,ITACT-66C,2,2
