CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2026-03-02 07:08:00,A,786
2,2,2026-03-06 17:05:00,A,865
3,3,2024-02-04 16:38:00,B,1363
4,4,2025-05-13 22:41:00,A,970
5,5,2022-12-06 00:48:00,A,877
6,6,2025-08-13 10:17:00,B,957
7,8,2023-09-10 12:06:00,A,1448
8,9,2022-09-10 19:16:00,A,1481
9,10,2025-11-20 12:05:00,B,1318
10,11,2022-05-09 20:39:00,B,969
11,12,2023-12-06 07:49:00,A,1523
12,13,2025-12-27 07:55:00,A,767
13,14,2022-05-19 05:23:00,A,931
14,15,2025-12-31 08:44:00,A,1055
15,17,2024-12-03 23:15:00,C,919
16,18,2023-09-23 08:59:00,A,1254
17,20,2025-01-10 01:14:00,A,790
18,21,2022-06-21 12:17:00,A,800
19,22,2025-04-12 10:13:00,A,1003
20,23,2025-11-03 20:29:00,C,966
21,24,2024-02-13 08:47:00,A,933
22,25,2023-04-16 18:25:00,A,871
23,26,2026-07-20 00:00:00,A,935
24,27,2021-05-28 05:50:00,A,1107
25,29,2024-07-05 14:33:00,A,705
26,30,2026-07-19 00:00:00,A,1624
27,31,2024-10-03 09:27:00,A,703
28,32,2024-12-10 23:56:00,A,792
29,33,2023-12-22 03:55:00,C,897
30,36,2021-04-10 20:32:00,A,1249
31,37,2024-04-17 16:58:00,A,1204
32,38,2024-11-28 15:01:00,A,1145
33,39,2024-10-17 09:15:00,A,955
34,40,2025-09-16 18:05:00,A,1496
35,42,2022-08-12 17:49:00,A,758
36,43,2024-07-05 15:35:00,A,856
37,44,2026-02-04 06:59:00,A,1152
38,45,2024-05-31 22:12:00,A,749
39,46,2024-09-19 16:28:00,A,1104
40,47,2021-07-24 02:21:00,C,855
41,48,2022-11-28 02:45:00,A,1134
42,49,2026-01-17 01:55:00,C,857
43,50,2025-01-29 06:34:00,C,1182
44,52,2021-07-03 18:36:00,A,1107
45,53,2025-02-24 03:06:00,A,762
46,54,2025-07-16 13:29:00,A,683
47,55,2024-10-08 12:46:00,C,1001
48,56,2026-01-12 03:15:00,A,1412
49,57,2025-12-05 08:29:00,A,901
50,59,2026-01-22 02:28:00,A,790
51,60,2026-05-25 00:05:00,A,736
52,61,2023-07-20 12:57:00,A,701
53,62,2025-09-04 00:24:00,A,803
54,63,2022-09-18 22:46:00,A,971
55,64,2021-06-17 09:13:00,A,1093
56,66,2026-03-22 01:03:00,A,933
57,67,2022-12-08 16:10:00,A,1204
58,68,2026-01-20 19:04:00,A,1619
59,69,2026-01-04 18:15:00,A,1117
60,70,2022-10-05 16:20:00,A,1200
61,71,2026-03-09 22:20:00,A,1147
62,73,2023-03-29 14:20:00,A,713
63,74,2026-07-19 00:00:00,A,720
64,76,2025-06-07 08:08:00,A,939
65,77,2026-07-12 00:00:00,C,912
66,79,2022-11-25 20:33:00,A,964
67,80,2024-05-17 03:56:00,A,1074
68,81,2024-01-10 03:47:00,A,787
69,82,2023-04-12 06:43:00,A,1620
70,83,2024-12-05 08:57:00,A,875
71,84,2022-12-20 00:21:00,A,1462
72,85,2024-06-22 08:10:00,A,954
73,86,2021-08-12 03:04:00,A,1026
74,87,2024-11-02 11:37:00,C,883
75,88,2024-10-20 01:57:00,A,903
76,89,2024-11-20 07:42:00,A,757
77,91,2023-03-25 19:47:00,C,945
