CourtID,CourtName,DistrictID,StateID,Active
1,"District & Sessions Court, Bagalkot",1,16,1
2,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Bagalkot",1,16,1
3,"Additional Civil Judge & JMFC Court, Bagalkot",1,16,1
4,"District & Sessions Court, Ballari",2,16,1
5,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Ballari",2,16,1
6,"Additional Civil Judge & JMFC Court, Ballari",2,16,1
7,"Fast Track Court, Ballari",2,16,1
8,"Mahila (All-Women) Court, Ballari",2,16,1
9,"POCSO Special Court, Ballari",2,16,1
10,"District & Sessions Court, Belagavi",3,16,1
11,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Belagavi",3,16,1
12,"Additional Civil Judge & JMFC Court, Belagavi",3,16,1
13,"Fast Track Court, Belagavi",3,16,1
14,"Mahila (All-Women) Court, Belagavi",3,16,1
15,"POCSO Special Court, Belagavi",3,16,1
16,"District & Sessions Court, Bengaluru Rural",4,16,1
17,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Bengaluru Rural",4,16,1
18,"Additional Civil Judge & JMFC Court, Bengaluru Rural",4,16,1
19,"District & Sessions Court, Bengaluru Urban",5,16,1
20,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Bengaluru Urban",5,16,1
21,"Additional Civil Judge & JMFC Court, Bengaluru Urban",5,16,1
22,"Fast Track Court, Bengaluru Urban",5,16,1
23,"Mahila (All-Women) Court, Bengaluru Urban",5,16,1
24,"POCSO Special Court, Bengaluru Urban",5,16,1
25,"District & Sessions Court, Bidar",6,16,1
26,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Bidar",6,16,1
27,"Additional Civil Judge & JMFC Court, Bidar",6,16,1
28,"District & Sessions Court, Chamarajanagar",7,16,1
29,"Principal Civil Judge (Sr. Dn.) & JMFC Court, Chamarajanagar",7,16,1
30,"Additional Civil Judge & JMFC Court, Chamarajanagar",7,16,1
31,"District & Sessions Court, Chikballapur",8,16,1
