CrimeHeadID,ActCode,SectionCode
1,IPC,IPC-302
1,IPC,IPC-304
1,IPC,IPC-307
1,IPC,IPC-323
1,IPC,IPC-325
1,IPC,IPC-363
1,IPC,IPC-366
1,BNS,BNS-103
1,BNS,BNS-105
1,BNS,BNS-109
1,BNS,BNS-115
1,BNS,BNS-117
1,BNS,BNS-137
1,BNS,BNS-140
2,IPC,IPC-379
2,IPC,IPC-380
2,IPC,IPC-392
2,IPC,IPC-395
2,IPC,IPC-406
2,IPC,IPC-420
2,IPC,IPC-447
2,BNS,BNS-303
2,BNS,BNS-305
2,BNS,BNS-309
2,BNS,BNS-310
2,BNS,BNS-316
2,BNS,BNS-318
2,BNS,BNS-329
3,IPC,IPC-354
3,IPC,IPC-376
3,IPC,IPC-498A
3,IPC,IPC-506
3,BNS,BNS-74
3,BNS,BNS-64
3,BNS,BNS-85
3,BNS,BNS-351
3,DOWRY,DOWRY-3
3,DOWRY,DOWRY-4
4,POCSO,POCSO-4
4,POCSO,POCSO-6
4,POCSO,POCSO-8
4,POCSO,POCSO-10
4,POCSO,POCSO-12
4,JJACT,JJACT-75
4,JJACT,JJACT-82
5,IPC,IPC-323
5,IPC,IPC-406
5,IPC,IPC-420
5,BNS,BNS-115
5,BNS,BNS-316
5,BNS,BNS-318
6,KPACT,KPACT-78
6,KPACT,KPACT-110
6,IPC,IPC-504
6,IPC,IPC-506
6,BNS,BNS-352
6,BNS,BNS-351
7,UAPA,UAPA-13
7,UAPA,UAPA-16
7,UAPA,UAPA-18
8,IPC,IPC-406
8,IPC,IPC-420
8,BNS,BNS-316
8,BNS,BNS-318
8,PCA,PCA-7
8,PCA,PCA-13
8,PMLA,PMLA-3
8,PMLA,PMLA-4
9,ITACT,ITACT-66
9,ITACT,ITACT-66C
9,ITACT,ITACT-66D
9,ITACT,ITACT-67
10,NDPS,NDPS-8
10,NDPS,NDPS-20
10,NDPS,NDPS-21
10,NDPS,NDPS-22
10,NDPS,NDPS-27
10,NDPS,NDPS-29
11,MVACT,MVACT-184
11,MVACT,MVACT-185
11,MVACT,MVACT-177
11,MVACT,MVACT-134
12,KEXACT,KEXACT-32
12,KEXACT,KEXACT-34
12,ARMS,ARMS-25
12,ARMS,ARMS-27
12,ARMS,ARMS-30
12,KPACT,KPACT-78
12,KPACT,KPACT-110
