DistrictID,DistrictName,StateID,Active
1,Bagalkot,16,1
2,Ballari,16,1
3,Belagavi,16,1
4,Bengaluru Rural,16,1
5,Bengaluru Urban,16,1
6,Bidar,16,1
7,Chamarajanagar,16,1
8,Chikballapur,16,1
9,Chikkamagaluru,16,1
10,Chitradurga,16,1
11,Dakshina Kannada,16,1
12,Davanagere,16,1
13,Dharwad,16,1
14,Gadag,16,1
15,Hassan,16,1
16,Haveri,16,1
17,Kalaburagi,16,1
18,Kodagu,16,1
19,Kolar,16,1
20,Koppal,16,1
21,Mandya,16,1
22,Mysuru,16,1
23,Raichur,16,1
24,Ramanagara,16,1
25,Shivamogga,16,1
26,Tumakuru,16,1
27,Udupi,16,1
28,Uttara Kannada,16,1
29,Vijayapura,16,1
30,Yadgir,16,1
31,Vijayanagara,16,1
