StateID,StateName,NationalityID,Active
1,Andaman and Nicobar Islands,1,1
2,Andhra Pradesh,1,1
3,Arunachal Pradesh,1,1
4,Assam,1,1
5,Bihar,1,1
6,Chandigarh,1,1
7,Chhattisgarh,1,1
8,Dadra and Nagar Haveli and Daman and Diu,1,1
9,Delhi,1,1
10,Goa,1,1
11,Gujarat,1,1
12,Haryana,1,1
13,Himachal Pradesh,1,1
14,Jammu and Kashmir,1,1
15,Jharkhand,1,1
16,Karnataka,1,1
17,Kerala,1,1
18,Ladakh,1,1
19,Lakshadweep,1,1
20,Madhya Pradesh,1,1
21,Maharashtra,1,1
22,Manipur,1,1
23,Meghalaya,1,1
24,Mizoram,1,1
25,Nagaland,1,1
26,Odisha,1,1
27,Puducherry,1,1
28,Punjab,1,1
29,Rajasthan,1,1
30,Sikkim,1,1
31,Tamil Nadu,1,1
32,Telangana,1,1
33,Tripura,1,1
34,Uttar Pradesh,1,1
35,Uttarakhand,1,1
36,West Bengal,1,1
