UnitTypeID,UnitTypeName,CityDistState,Hierarchy,Active
1,DGP Office,State,1,1
2,Range IG Office,State,2,1
3,City Police Commissionerate,City,3,1
4,District SP Office,District,3,1
5,Sub-Division / ACP Office,City,4,1
6,Circle Office,District,5,1
7,Armed Reserve,District,5,1
8,City Police Station,City,6,1
9,Rural Police Station,District,6,1
10,Town Police Station,District,6,1
11,Taluk Police Station,District,6,1
12,Traffic Police Station,City,6,1
13,Women Police Station,District,6,1
14,CEN Crime Police Station,District,6,1
