person_uid,num_cases_log_scaled,weekend_pref_signed_scaled,avg_victim_age_clean_scaled,victim_age_missing_scaled,arrest_vs_surrender_ratio_scaled,geographic_spread_km_scaled,primary_crime_head_encoded_1,primary_crime_head_encoded_2,primary_crime_head_encoded_3,primary_crime_head_encoded_4,primary_crime_head_encoded_5,primary_crime_head_encoded_6,primary_crime_head_encoded_7,primary_crime_head_encoded_8,primary_crime_head_encoded_9,primary_crime_head_encoded_10,primary_crime_head_encoded_11,primary_crime_head_encoded_12,victim_gender_mode_0.0,victim_gender_mode_1.0,victim_gender_mode_2.0,victim_gender_mode_3.0,act_pc_1,act_pc_2,act_pc_3,act_pc_4,act_pc_5,act_pc_6,act_pc_7,act_pc_8,act_pc_9,act_pc_10,act_pc_11,act_pc_12,act_pc_13,act_pc_14,act_pc_15,act_pc_16,act_pc_17,act_pc_18,act_pc_19,act_pc_20
1,0.0,-0.6307359283700844,-0.10560969024528474,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5374756270833586,1.0836202569391316,0.11179235622400863,0.005625161891386114,-0.017020737454941506,-0.23493190527594934,-0.06984090783485127,-0.08234048188158477,-0.0777834871504822,0.019713775766122623,-0.8208941842209498,0.0018580570369960683,1.7210561052956255,1.9753505931254447,0.00033025535542766674,-0.0005207301549815507,-0.001063567164892051,-0.0002212816382112671,0.0004798568422187334,-0.0010822467146020397
2,0.0,-0.6307359283700844,-0.10560969024528474,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5374756270833586,1.0836202569391316,0.11179235622400863,0.005625161891386114,-0.017020737454941506,-0.23493190527594934,-0.06984090783485127,-0.08234048188158477,-0.0777834871504822,0.019713775766122623,-0.8208941842209498,0.0018580570369960683,1.7210561052956255,1.9753505931254447,0.00033025535542766674,-0.0005207301549815507,-0.001063567164892051,-0.0002212816382112671,0.0004798568422187334,-0.0010822467146020397
3,0.0,-0.6307359283700844,-0.10560969024528474,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5374756270833586,1.0836202569391316,0.11179235622400863,0.005625161891386114,-0.017020737454941506,-0.23493190527594934,-0.06984090783485127,-0.08234048188158477,-0.0777834871504822,0.019713775766122623,-0.8208941842209498,0.0018580570369960683,1.7210561052956255,1.9753505931254447,0.00033025535542766674,-0.0005207301549815507,-0.001063567164892051,-0.0002212816382112671,0.0004798568422187334,-0.0010822467146020397
4,0.0,-0.6307359283700844,-0.10560969024528474,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5374756270833586,1.0836202569391316,0.11179235622400863,0.005625161891386114,-0.017020737454941506,-0.23493190527594934,-0.06984090783485127,-0.08234048188158477,-0.0777834871504822,0.019713775766122623,-0.8208941842209498,0.0018580570369960683,1.7210561052956255,1.9753505931254447,0.00033025535542766674,-0.0005207301549815507,-0.001063567164892051,-0.0002212816382112671,0.0004798568422187334,-0.0010822467146020397
5,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,-1.2639963657241198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
6,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,-1.2639963657241198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
7,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
8,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
9,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
10,0.0,1.5854495598247413,-0.4594598720933159,-0.4134216426826066,0.7911415152108595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.111561668972758,2.2872756254462394,0.23682225190645,0.012279526736819825,-0.03845845554818978,-0.543972099146814,-0.16378613055100652,-0.1963820128348464,-0.19731492475343063,-1.149440544575048,-1.4352495299673635,-0.005008756433479617,-1.069817402605448,-2.1111908377003585,-0.008357073492467096,0.005839991120793269,0.007250679035332721,0.0013465769712466878,-0.0027660417815765013,0.00549890385027093
